Date,Close,Event,Region
2004-11-02,1.272006,2004 Presidential Election,US
2007-01-09,1.299697,iPhone Introduction,WORLD
2008-09-15,1.4269,2008 Great Recession,WORLD
2008-09-29,1.439325,Housing Market Crash,US
2008-11-04,1.298398,2008 Presidential Election,US
2008-12-11,1.332996,Madoff Scandal,US
2010-12-17,1.323995,Arab Spring,WORLD
2011-01-14,1.335327,Tunisia Uprising,WORLD
2011-02-03,1.381788,Yemen Uprising,WORLD
2011-02-09,1.362695,Egypt Uprising,WORLD
2011-02-15,1.348109,Libya Uprising,WORLD
2011-03-11,1.380129,2011 Japanese Earthquake & Tsunami,WORLD
2011-04-29,1.484406,Syria Uprising,WORLD
2012-05-18,1.269841,Facebook IPO,US
2012-06-01,1.236247,Coinbase Launch,WORLD
2012-11-06,1.280246,2012 Presidential Election,US
2016-11-08,1.105217,2016 Presidential Election,US
2017-03-29,1.081771,Brexit Talks Start,WORLD
2019-12-27,1.110112,First Chinese COVID-19 Case Reported,WORLD
2020-01-31,1.102913,Brexit Implemented,WORLD
2020-11-03,1.16428,2020 Presidential Election,US
2021-01-06,1.230027,US Capitol Attacks,US
2021-01-20,1.213887,Biden Inauguration,US
2022-02-24,1.130569,Russian invasion of Ukraine,WORLD
2022-06-30,1.044659,Inflation Rise,US
